Partner,HS code,Product Name,Year,TariffRate
Wallis and Futura Isl.,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2019,6
Wallis and Futura Isl.,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2021,10
Samoa,39,PLASTICS AND ARTICLES THEREOF,2013,8.02
Samoa,73,ARTICLES OF IRON OR STEEL,2014,8
Samoa,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2015,8.22
Samoa,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2016,14.59
Samoa,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2017,2.89
Samoa,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2018,8.51
Yemen,39,PLASTICS AND ARTICLES THEREOF,2012,5.42
Yemen,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2012,4.86
Yemen,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2012,3.66
Yemen,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2012,5
"Serbia, FR(Serbia/Montenegro)",73,ARTICLES OF IRON OR STEEL,2015,8.64
"Serbia, FR(Serbia/Montenegro)",87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2013,5.9
"Serbia, FR(Serbia/Montenegro)",94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2016,11.02
Zambia,73,ARTICLES OF IRON OR STEEL,2014,15.24
Zambia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2012,15.53
Zambia,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2015,4.1
Zambia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2013,19.61
European Union,39,PLASTICS AND ARTICLES THEREOF,2016,5.98
European Union,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2014,1.21
European Union,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2012,7.66
European Union,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2015,0.71
Albania,39,PLASTICS AND ARTICLES THEREOF,2018,1.97
Albania,73,ARTICLES OF IRON OR STEEL,2021,15
Albania,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2019,0.08
Albania,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2017,0.11
Albania,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2020,15
Algeria,73,ARTICLES OF IRON OR STEEL,2018,9.53
Algeria,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2021,9.76
Algeria,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2019,17.11
Algeria,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2017,29.97
Angola,39,PLASTICS AND ARTICLES THEREOF,2021,7.76
Angola,73,ARTICLES OF IRON OR STEEL,2023,14.54
Angola,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2019,3.83
